State Name,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll %,Rejected Votes (Postal),Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes
Sikkim,Total,1,230403,235144,3,467021,0,2477,187390,183268,2,18640,392466,0,82.0,2653,1022,2524,384398,16
Telangana,ST,2,1539818,1655431,197,3220092,104,3764,1154406,1192315,83,25061,2381370,0,74.0,1397,2072,18543,2285368,7
Madhya Pradesh,ST,6,5852930,5909858,192,11712599,4,7334,4336376,4108108,103,23588,8432553,0,73.0,3987,430,124586,8486217,40
Maharashtra,Total,48,48228820,45090504,5751,91542207,5027,119082,30790728,25863196,1437,235162,57762446,17,62.0,29647,39326,420955,56446954,4195
Uttarakhand,GEN,4,3707134,3391699,288,7006102,44,64986,2105472,2047634,84,70408,4144469,0,60.0,14637,6085,35460,4060227,23
Odisha,ST,5,3737929,3927665,700,7708893,37,9458,2913769,3083152,203,37256,5942623,0,78.0,7198,18571,140239,5830117,522
Maharashtra,SC,5,5032830,4583568,481,9506601,95,12387,3192532,2742217,141,20719,5831473,0,61.0,3550,3248,22145,5900920,224
Punjab,GEN,9,8129822,7007378,563,15190673,1324,77306,5141586,4413458,197,47896,9652927,8,62.0,8143,2442,43306,9676200,30
Manipur,Total,2,992486,1061810,250,2060288,0,22049,764967,832507,119,17404,1604661,0,78.0,4957,7236,10867,1578227,12
Rajasthan,GEN,18,20010419,19019932,457,39264144,203,116792,12673605,11446487,239,283484,23879495,0,63.0,33151,3029,190427,24407588,543
Andhra Pradesh,Total,25,20112646,20764763,3370,41097856,7936,68426,16744204,17147588,1471,512294,34420977,194,81.0,38881,89829,406999,33181296,252
Tamil Nadu,Total,38,30335327,31548869,8474,61947084,3381,69759,21587893,22261959,2705,307176,43504699,0,71.0,45514,49459,471271,43448340,335
Rajasthan,Total,25,28283534,25782923,629,54090580,286,143633,17571788,15872024,327,375671,33046975,0,61.0,43779,3654,276797,32466553,670
Telangana,SC,3,2570233,2637899,547,5074041,330,3541,1797362,1737536,136,40258,3628146,0,68.0,1661,3517,18406,3575477,9
Andaman & Nicobar Islands,Total,1,167612,151664,4,318432,0,605,105992,94630,2,603,202672,0,64.0,85,0,1781,202269,0
Chhattisgarh,ST,4,3350199,3404757,157,6752255,3,10322,2549113,2565849,72,16211,5098168,0,76.0,2816,2264,96655,5072254,47
Rajasthan,SC,4,4458248,3809520,135,8260389,14,19086,2474250,2065473,78,57115,4749174,0,56.0,7154,593,38625,4564253,55
Chandigarh,GEN,1,348270,316092,35,665229,43,739,233377,218170,27,832,453345,1,68.0,110,0,2906,441468,9
Grand Total,Grand Total,539,504464514,473268676,48771,979959176,120878,1945969,326355259,309829696,12958,4213842,642645962,2918,65.0,530734,519057,6368442,629620893,9520
Madhya Pradesh,GEN,19,18905031,18369610,849,38048764,89,49173,13263346,11087424,381,84308,24519317,0,64.0,16224,7535,369940,24477758,101
Andhra Pradesh,GEN,20,16463786,16961468,2882,33541849,6802,57004,13083086,13845135,1329,414240,27281103,196,80.0,32682,73562,299683,26371216,172
Bihar,GEN,34,34274820,31757775,1918,65439869,60,148034,18046144,18837353,118,134743,37713215,0,56.0,17792,8522,738372,36567407,1
Dadra & Nagar Haveli and Daman & Diu,Total,2,218263,204927,0,422197,63,23,151082,148077,0,526,303734,0,70.0,76,0,6047,289379,3
Madhya Pradesh,ST,6,6024422,5832811,195,11933753,4,7230,4335239,4176584,105,23240,8607766,0,72.0,4074,419,124357,8444544,39
West Bengal,GEN,30,27019012,26791654,1290,55047154,209,76674,21431041,20825698,411,201723,42726955,0,77.0,29031,18028,347568,42010528,176
Tamil Nadu,Total,39,31158436,31498667,8538,63337019,3494,71431,21626172,21908350,2692,309052,43253171,0,69.0,46304,49238,471590,44000906,333
West Bengal,ST,2,1798377,1745153,82,3559573,1,7733,1416712,1449459,27,15560,2897420,0,81.0,1968,1754,36561,2925694,35
Manipur,ST,1,516038,529030,36,1037214,0,12150,388730,413060,10,5989,800051,0,76.0,581,2393,7099,777740,0
Jharkhand,Total,14,12936640,12470691,426,25451068,127,45015,8345296,8705920,160,181177,17035756,0,66.0,11637,25681,197446,16788108,10
Odisha,GEN,13,10861071,10365659,2395,21246993,135,31953,7641959,7728220,512,88086,15473211,0,75.0,13984,36110,165625,15475901,130
Karnataka,SC,5,4637631,4654433,904,9283546,26,4579,3341631,3233742,199,29040,6732022,0,72.0,3759,1110,32943,6769386,25
Andaman & Nicobar Islands,Total,1,163373,149593,4,316148,0,590,105145,98256,2,614,205637,0,63.0,84,0,1826,200784,0
West Bengal,ST,2,1756792,1793247,83,3525058,1,7844,1451381,1472725,27,16029,2858466,0,83.0,2028,1766,37491,2843608,34
Madhya Pradesh,ST,6,5936368,5976323,194,11657036,4,7238,4395040,4164323,107,23423,8658112,0,73.0,4036,429,123894,8487005,39
Bihar,Total,41,41135326,36587272,2188,76220693,90,172575,21465646,21432852,139,161570,44231445,0,57.0,22548,8894,906259,42885105,1
Gujarat,Total,25,24699549,22919668,1471,47455746,894,27402,15695422,13274228,445,310791,28779650,2,60.0,30660,15080,456415,28993059,115
Gujarat,SC,2,1874331,1768546,101,3716458,58,1137,1121531,938220,38,15190,2070874,0,55.0,1641,372,33369,2049453,8
Tamil Nadu,SC,7,5491603,5784278,1397,11273222,327,7878,4012789,4119982,438,52334,7984977,0,72.0,8297,24529,94137,8051179,79
Assam,Total,14,12335020,12124045,396,24744920,19,64600,9807900,10094160,74,123814,20164917,0,82.0,19425,38206,238638,19565922,124
Tripura,Total,2,1450414,1451478,70,2900471,0,10726,1187542,1135817,39,33369,2306859,0,80.0,3963,750,33044,2351659,2
Arunachal Pradesh,GEN,2,448418,457127,5,908650,0,5808,328561,354841,2,38070,724288,0,81.0,4004,1169,7257,724214,312
West Bengal,ST,2,1794834,1797458,80,3503095,1,7965,1436472,1478177,27,15965,2871163,0,82.0,1998,1769,37688,2838208,34
Himachal Pradesh,GEN,3,2206790,2113687,23,4287542,23,57374,1497845,1543166,19,68693,3055218,0,70.0,8564,1179,16884,3124205,25
Sikkim,GEN,1,230845,234850,3,465503,0,2504,184494,181784,2,18316,388798,0,83.0,2604,1006,2536,385337,16
Gujarat,GEN,19,19302338,17901971,1282,36301585,798,24270,12076027,9968911,379,252413,22105569,2,59.0,25454,10084,314912,21240198,95
Jammu and Kashmir,GEN,5,4605324,4233105,167,8837713,0,74650,2717535,2423331,51,50428,5206805,0,60.0,8004,3530,34284,5077086,13
Dadra & Nagar Haveli and Daman & Diu,ST,1,146472,137358,0,283281,0,11,107659,100074,0,364,202608,0,73.0,36,0,5165,200476,0
West Bengal,ST,2,1779408,1802195,81,3505362,1,7973,1440974,1474629,27,15559,2885267,0,82.0,1978,1748,37584,2823179,34
Sikkim,GEN,1,232291,233334,3,473698,0,2546,184304,186752,2,18862,390759,0,84.0,2591,1004,2574,379992,16
Andaman & Nicobar Islands,Total,1,167433,150151,4,311110,0,587,104728,95272,2,603,199829,0,65.0,84,0,1830,199924,0
Grand Total,Grand Total,541,499174595,473080184,47276,995440786,119297,1882444,323663282,311367165,13278,4357941,640227474,2901,65.0,530517,522767,6314290,649268482,9771
West Bengal,GEN,30,27359409,26363625,1296,55029556,208,76886,21182646,21238762,413,201759,42108743,0,78.0,28780,17837,346466,41316461,177
Jharkhand,Total,14,13245634,12729602,423,26191075,127,45463,8239153,8582257,161,181772,17050455,0,66.0,11887,25282,198423,17336145,10
Tamil Nadu,SC,7,5380315,5639643,1364,11303544,319,7766,3965199,4148399,438,53267,8164245,0,73.0,8409,23907,91430,7803167,79
Dadra & Nagar Haveli and Daman & Diu,ST,1,145466,133607,0,279335,0,11,105024,99620,0,365,201635,0,72.0,37,0,5067,200054,0
Punjab,SC,4,3420915,3016950,205,6335667,313,28589,2016520,1890682,81,16428,3881469,5,62.0,1245,0,23719,3858683,9
Telangana,Total,17,16456851,16443965,2801,32872250,3478,15693,10733078,11016137,820,218554,21808597,3,66.0,8928,14346,103530,21647397,70
Odisha,SC,3,2588072,2477405,393,4926035,24,8699,1891845,1860928,73,24058,3777285,0,76.0,2678,8805,16848,3690964,24
Madhya Pradesh,GEN,19,19232698,17688470,853,36695130,89,48728,13238388,11495302,382,83384,24415780,0,64.0,16216,7460,368957,24326158,102
Maharashtra,ST,4,3842005,3754856,284,7697548,228,7244,2728838,2470087,66,16870,5218741,0,68.0,1887,2633,63522,5043568,179
West Bengal,SC,10,9462054,8966319,398,18761317,9,31126,7832906,7405421,136,76141,15215207,0,82.0,13227,7105,140743,15432414,50
Assam,SC,1,687184,692027,24,1393443,0,5077,536828,544655,6,8375,1095886,0,78.0,1517,0,12902,1084544,0
Maharashtra,ST,4,3860848,3686859,277,7734809,233,7343,2725288,2430849,68,16480,5148761,0,68.0,1908,2636,62323,5058665,184
West Bengal,SC,10,9536066,9180328,394,18611867,9,31026,7643271,7581163,134,77203,15378729,0,82.0,12916,7183,137427,15188586,49
Punjab,SC,4,3367766,3029362,199,6403999,310,28378,2030525,1828556,82,16698,3954872,5,62.0,1223,0,23611,3926207,9
Maharashtra,SC,5,4863096,4679076,466,9666758,94,12431,3143114,2777944,137,20387,6044658,0,63.0,3497,3170,22038,5799412,226
Goa,Total,2,561989,619621,12,1168522,85,305,430167,466498,9,11165,925917,0,76.0,887,0,11345,883365,22
Haryana,SC,2,2106567,1878162,118,3971846,144,10557,1458400,1263577,27,7829,2745467,3,68.0,3094,0,10764,2743202,38
Chhattisgarh,SC,1,1018009,1007155,27,2078760,0,2169,690675,682992,16,5955,1421181,0,68.0,840,1844,5140,1359857,23
Chhattisgarh,ST,4,3305179,3483980,156,6773500,3,10543,2577337,2632586,73,16426,5282605,0,76.0,2769,2204,98034,4999401,47
Madhya Pradesh,Total,29,29120366,27807035,1228,56819856,106,74481,20052965,17980804,573,125981,37902512,0,67.0,22606,8979,529835,37545090,163
Kerala,Total,20,13460182,14540823,368,28151507,90053,57218,9576398,10382654,150,256746,20059798,2658,73.0,34527,19089,158353,20117573,585
Telangana,SC,3,2524293,2629933,536,5091273,328,3533,1749040,1732379,139,40266,3549605,0,70.0,1666,3520,18884,3536910,9
Uttarakhand,SC,1,726833,645890,5,1384520,4,28788,301898,348415,2,22428,670775,0,50.0,5999,489,16735,661022,1
Maharashtra,ST,4,3949330,3762068,276,7718326,235,7257,2708359,2401912,66,16395,5164129,0,67.0,1872,2671,61745,5197570,180
Mizoram,Total,1,423080,432915,0,872805,0,4887,244342,247130,0,4641,492355,0,56.0,191,294,1907,494357,0
Manipur,Total,2,1016255,1050598,251,2062022,0,22159,767935,821210,115,17204,1632703,0,77.0,4856,7253,11185,1591420,12
Jammu and Kashmir,Total,5,4535967,4214808,168,8785862,0,77406,2650953,2381808,52,51500,5160895,0,59.0,8228,3490,34823,5174939,13
Dadra & Nagar Haveli and Daman & Diu,Total,2,216942,199083,0,411053,64,23,148768,145676,0,533,301074,0,70.0,75,0,6192,294394,3
Gujarat,ST,4,3870661,3812404,77,7530455,42,2500,2600222,2385403,25,43042,5059353,0,68.0,3620,4826,109020,5008475,9
Uttarakhand,GEN,4,3627861,3334474,292,7039339,45,65295,2103779,2015133,86,69372,4205477,0,59.0,14640,6144,35873,4144477,23
Chhattisgarh,GEN,6,5890011,5936360,542,11866389,12,7532,4266423,4225282,128,21159,8538222,0,71.0,2344,12241,32288,8304982,141
Ladakh,GEN,1,99691,91522,0,193528,0,5793,66370,66837,0,3008,136509,0,71.0,137,0,907,137265,0
Jharkhand,GEN,8,8321447,7721037,358,15998703,120,25739,5080496,5295398,144,106502,10535930,0,66.0,6760,15362,90820,10451968,7
Meghalaya,Total,2,1106739,1146755,3,2272454,5,3859,822955,882454,3,9405,1720794,0,75.0,1254,1832,16936,1675970,18
Jharkhand,Total,14,13332205,12466118,417,26161457,127,44955,8332772,8571267,161,181745,17237513,0,67.0,11926,25240,194966,17129552,10
Manipur,ST,1,519579,540945,35,1054396,0,12326,386494,401737,10,6167,794726,0,76.0,574,2424,7313,774563,0
Madhya Pradesh,GEN,19,19195530,17707115,852,36780266,90,48462,13296079,11416384,385,83122,24055089,0,65.0,16616,7422,366127,24216562,102
Maharashtra,SC,5,4959237,4573600,481,9434092,94,12373,3222752,2772729,137,20771,5880328,0,63.0,3521,3167,21926,5887451,223
Manipur,ST,1,509644,531121,35,1037936,0,12005,382717,399232,10,6127,805710,0,76.0,581,2468,7202,793438,0
Assam,GEN,11,10503221,10527232,349,21097762,19,50370,8545046,8463712,64,97339,17160866,0,81.0,15504,23784,200202,17018856,117
Kerala,GEN,18,12005569,13097051,352,25108986,85922,48133,8518912,9205690,139,225933,18036348,2662,73.0,29931,19113,136186,17749289,556
Arunachal Pradesh,GEN,2,448029,447645,5,893451,0,5832,330212,360399,2,37172,725276,0,80.0,3915,1180,7252,723650,309
Dadra & Nagar Haveli and Daman & Diu,Total,2,214830,200980,0,411133,64,23,151541,145549,0,543,293884,0,71.0,76,0,6167,288370,3
Rajasthan,SC,4,4405823,3826880,134,8293425,14,19492,2495670,2117427,79,55041,4748839,0,57.0,7191,600,38819,4590331,56
Haryana,SC,2,2060338,1883213,119,3908272,146,10547,1469434,1242478,27,7980,2702214,3,69.0,3155,0,10596,2711794,38
Odisha,SC,3,2622374,2390989,396,4988612,24,8731,1833394,1832518,73,24875,3712312,0,75.0,2696,9075,17406,3753643,24
Tripura,GEN,1,743262,718100,57,1454382,0,5965,600070,594546,35,20042,1215042,0,84.0,2937,0,14552,1199658,0
Haryana,Total,10,10704791,9406703,459,20273403,747,110649,6959142,5903948,84,66531,13146030,36,66.0,14645,5415,43793,12761394,117
West Bengal,SC,10,9442072,9217979,394,18340769,9,30788,7682196,7660015,132,74919,15500222,0,81.0,13238,7270,138100,15282310,50
Assam,Total,14,12532668,12147591,400,24145057,19,67136,10012949,9846045,76,124277,20358515,0,83.0,19681,39008,240645,19734984,125
Telangana,ST,2,1529958,1612208,190,3201209,100,3705,1159044,1157978,84,25696,2335503,0,73.0,1357,2076,18011,2315381,7
Jharkhand,GEN,8,8174028,7864711,361,16150320,119,25386,5227908,5242943,144,105583,10436538,0,66.0,6672,15737,89656,10367130,7
NCT OF Delhi,SC,1,1408608,1199605,260,2619905,27,1844,810630,663271,65,4990,1464323,0,58.0,327,2802,9125,1484235,17
Odisha,SC,3,2558804,2468906,399,4954427,24,8683,1882351,1899108,72,24620,3747084,0,76.0,2631,9076,17045,3737905,24
Puducherry,Total,1,487012,542246,149,1031891,363,329,376833,435551,104,3759,807929,20,78.0,256,3176,9842,808887,5
Haryana,GEN,8,8559665,7666404,352,16524149,607,99417,5597813,4664773,57,58423,10238351,34,63.0,11371,5526,33357,10393214,81
Puducherry,GEN,1,478636,539346,151,1019388,368,331,379787,430395,103,3683,813433,20,80.0,254,3219,9780,793662,5
Chhattisgarh,ST,4,3294846,3441127,156,6881823,3,10319,2514297,2576583,72,16568,5090517,0,78.0,2828,2239,97949,5002769,46
Telangana,GEN,12,12441054,12243905,2031,25314021,3000,8669,8042124,8092505,604,150413,16173225,3,66.0,5955,8822,67047,15747832,53
Sikkim,Total,1,234378,233770,3,460770,0,2531,183626,187376,2,18834,392343,0,85.0,2620,1023,2523,387809,16
Sikkim,Total,1,239405,229478,3,458754,0,2529,184563,181791,2,18909,380907,0,85.0,2645,1007,2555,383930,16
Chandigarh,GEN,1,335358,317504,35,648738,43,743,238222,214148,27,822,454082,1,68.0,110,0,2930,439389,9
Meghalaya,ST,2,1117127,1110863,3,2205446,5,3825,829902,901674,3,9188,1731747,0,77.0,1225,1778,16915,1706756,18
Chandigarh,Total,1,341896,312586,35,664490,43,752,236008,217933,27,828,455067,1,67.0,109,0,2963,439251,9
Rajasthan,Total,25,27888616,25357230,631,54330774,286,143512,17108123,15789830,332,373181,33436949,0,62.0,42671,3617,279845,32730575,669
Grand Total,Grand Total,531,499728300,484064685,47873,977548543,118977,1880311,332214598,311191106,13292,4285640,641675312,2983,65.0,544057,513363,6496963,647744245,9581
Andhra Pradesh,ST,1,744868,792133,111,1554795,23,2528,568367,576246,0,22450,1156204,0,76.0,1329,0,51099,1128100,2
Bihar,Total,40,40050995,36806329,2210,76678163,88,167443,21174976,21959056,138,162678,43595220,0,57.0,22490,9058,912654,42495836,1
Gujarat,ST,4,3877737,3821762,78,7652856,42,2431,2635800,2451069,25,43231,5064110,0,68.0,3679,4813,106601,5014212,9
Jammu and Kashmir,GEN,5,4442465,4199739,168,8922638,0,76121,2678431,2441992,53,51392,5248674,0,59.0,8220,3610,34614,5105522,13
Kerala,Total,20,13376116,14216619,366,27489691,90582,58905,9556922,10385548,149,254193,20303968,2659,72.0,34300,18555,158354,19573743,582
Telangana,ST,2,1553289,1616913,193,3185355,104,3770,1158825,1192745,84,25720,2327211,0,74.0,1357,2118,18254,2369615,7
Manipur,ST,1,527603,532066,36,1035546,0,12298,382031,411591,10,5971,804808,0,75.0,581,2435,7139,793746,0
Uttarakhand,Total,5,4355336,4080383,291,8467564,48,93644,2406498,2379039,87,93832,4866430,0,57.0,21097,6769,52581,4790784,24
Bihar,Total,40,41007497,36020908,2260,76890445,87,173017,21107109,21628835,137,159426,43102240,0,56.0,23024,9149,910509,41888939,1
Puducherry,GEN,1,482244,552267,150,1005797,367,323,383008,431911,104,3751,814334,20,80.0,261,3174,9572,797815,5
Mizoram,ST,1,411372,440325,0,874896,0,4991,240070,249426,0,4629,496810,0,58.0,192,295,1899,485989,0
Himachal Pradesh,Total,4,2875728,2766645,35,5802432,34,65905,1974359,2052509,27,82176,4102909,0,71.0,9615,1644,23090,4112989,33
Haryana,GEN,8,8802621,7551139,348,16498461,613,99363,5632967,4758564,57,58549,10541469,34,64.0,11542,5470,32687,10210967,81
Ladakh,Total,1,96953,91537,0,190026,0,5806,65898,68161,0,3017,133454,0,71.0,137,0,894,132700,0
Lakshadweep,Total,1,29681,28648,0,58062,0,172,24751,24622,0,610,49836,0,85.0,47,0,134,49594,1
Sikkim,GEN,1,231829,233144,3,461180,0,2498,182475,187744,2,18750,389589,0,84.0,2577,1012,2527,380404,16
Puducherry,GEN,1,486504,541618,152,1027266,361,324,378370,426076,106,3749,814637,20,79.0,258,3195,9711,797733,5
Dadra & Nagar Haveli and Daman & Diu,GEN,1,66596,65772,0,136712,65,12,44475,46983,0,168,91582,0,68.0,38,0,983,91952,3
Manipur,GEN,1,492101,517150,213,1021057,0,9456,375348,420832,106,11235,808439,0,80.0,4254,4862,3763,795717,12
Goa,GEN,2,567145,612317,12,1186199,84,296,424087,468183,9,11330,896116,0,78.0,885,0,11051,893086,22
Arunachal Pradesh,Total,2,442913,450144,5,913833,0,5831,326771,361229,2,38119,719506,0,80.0,3891,1171,7077,708899,314
Tripura,ST,1,695598,697350,13,1391658,0,4713,565613,550197,4,13867,1113553,0,81.0,960,751,18413,1111844,2
Kerala,SC,2,1277163,1378812,21,2666022,2578,9773,878015,980628,8,31192,1895605,9,70.0,4649,0,21864,1833764,21
Manipur,ST,1,525787,533363,35,1067933,0,12230,393996,409463,10,5988,801971,0,77.0,582,2425,7320,780731,0
Rajasthan,SC,4,4410828,3924850,134,8374360,14,19160,2516638,2087598,79,55356,4695110,0,57.0,7106,608,38085,4650638,56
Jammu and Kashmir,Total,5,4612228,4307643,167,8696317,0,75839,2665473,2421926,51,51201,5102620,0,58.0,7994,3472,34624,5140889,13
Sikkim,Total,1,236857,227719,3,464584,0,2502,188595,187344,2,18260,390748,0,82.0,2564,993,2495,383534,16
Odisha,GEN,13,10649796,10335944,2358,20796333,135,31964,7637360,7754138,526,91125,15654823,0,73.0,14183,37056,167468,15094635,132
Goa,GEN,2,580931,618148,12,1189381,83,304,430130,464951,9,11308,923024,0,76.0,897,0,11357,910561,22
Chandigarh,Total,1,337510,318891,35,655176,42,734,237450,210505,27,823,442663,1,67.0,109,0,2952,440707,9
Maharashtra,ST,4,3868060,3674844,284,7573277,234,7291,2748001,2473832,67,16543,5087983,0,69.0,1901,2636,62181,5026983,181
Nagaland,GEN,1,664098,673140,0,1313946,0,7827,375643,375605,0,6136,776680,0,58.0,2425,3385,1665,753881,6
Goa,Total,2,573514,601281,12,1201487,85,301,433055,471630,9,11276,908245,0,77.0,899,0,11201,879358,22
Dadra & Nagar Haveli and Daman & Diu,ST,1,147845,135272,0,284942,0,11,105788,99293,0,370,206704,0,73.0,37,0,5163,201729,0
Punjab,GEN,9,7863261,7198501,583,14867310,1312,76563,5144125,4415484,202,48146,9504859,8,63.0,8218,2429,43529,9653905,31
Grand Total,Grand Total,552,499042658,470724327,47337,974284255,118455,1894063,325656164,307335115,13179,4288997,650914104,2926,67.0,530609,521912,6362481,628315256,9475
Haryana,Total,10,10929618,9376374,474,20543790,760,110548,7069643,5876137,86,66816,13112733,37,64.0,14880,5349,44012,12782078,116
Gujarat,SC,2,1902474,1804505,100,3675001,59,1161,1123878,922660,39,15203,2060056,0,56.0,1645,362,32872,2009141,8
Ladakh,GEN,1,98771,93678,0,191499,0,5702,65660,66862,0,2992,134901,0,70.0,141,0,922,136593,0
Chhattisgarh,ST,4,3367832,3439748,151,6830467,3,10219,2503917,2625738,73,16330,5137804,0,77.0,2800,2212,96800,5126255,47
Grand Total,Grand Total,551,497992219,469480191,48668,992008820,118577,1880298,331047529,309250465,13173,4286060,648601501,2966,65.0,541370,519483,6425075,626761853,9817
Madhya Pradesh,ST,6,5929501,5950390,191,11879068,4,7362,4379738,4107916,103,23324,8509060,0,73.0,4039,431,124603,8511106,40
Kerala,Total,20,13700414,14074198,371,27802777,89848,57983,9377158,10261955,147,258297,19964354,2654,72.0,34519,18895,158792,20071847,588
Goa,Total,2,577370,600054,12,1175485,85,298,428347,469036,9,11251,903435,0,78.0,883,0,11262,907924,22
Jammu and Kashmir,Total,5,4616056,4310021,169,8958084,0,75460,2740971,2377525,51,50332,5079825,0,58.0,8042,3535,34679,5160374,13
Puducherry,Total,1,481460,534867,150,1025561,373,328,374989,421828,106,3674,815669,20,78.0,257,3208,9606,801032,5
Ladakh,Total,1,97577,91777,0,192058,0,5784,66065,67253,0,3029,138165,0,70.0,140,0,921,137166,0
Dadra & Nagar Haveli and Daman & Diu,ST,1,147833,136453,0,283701,0,11,108047,99173,0,369,209692,0,73.0,37,0,5129,198143,0
Bihar,SC,6,6053858,5425720,276,11317545,29,21914,3225917,3147714,24,28723,6479273,0,56.0,4702,463,175327,6294397,0
Punjab,Total,13,11205910,10126978,788,21193290,1637,104963,7026558,6218409,287,64763,13487682,13,62.0,9580,2380,65876,13500058,41
Telangana,GEN,12,12531326,12482121,2066,24626175,3047,8866,8089275,7825260,618,154511,15829668,3,65.0,5781,9126,66897,16249494,52
Himachal Pradesh,SC,1,691570,644533,12,1342518,11,8235,504306,454024,8,12048,952837,0,72.0,845,490,5917,966487,8
Andhra Pradesh,ST,1,749996,786289,110,1581435,23,2530,561171,579213,0,22518,1172317,0,74.0,1341,0,51418,1108862,2
Bihar,SC,6,5921545,5533463,277,11508984,29,22267,3179470,3181290,24,28515,6336420,0,56.0,4703,470,173866,6300932,0
Nagaland,GEN,1,660943,672270,0,1307304,0,7949,377557,384293,0,6080,766269,0,57.0,2365,3343,1664,750211,6
Maharashtra,GEN,38,38991388,35871319,4886,76831116,4764,97460,25117847,21594361,1221,203009,46518760,17,61.0,24171,33045,336130,46500679,3778
Meghalaya,ST,2,1082944,1135259,3,2227709,5,3813,830637,889801,3,9190,1738327,0,78.0,1256,1798,16802,1720434,18
Madhya Pradesh,SC,4,3886471,3627485,167,7335646,13,19226,2713656,2211040,81,17480,5033656,0,67.0,2600,1181,38438,4851257,21
Uttarakhand,GEN,4,3658341,3396307,292,7018521,44,64472,2119385,2025583,86,69417,4206649,0,58.0,14931,6064,36017,4135730,23
Maharashtra,GEN,39,39777728,35581194,4893,77160790,4725,98598,24986331,21401783,1253,205544,45809661,17,61.0,24360,34200,329717,46644222,3767
Andhra Pradesh,Total,25,19981545,21339844,3453,41425615,7804,69544,16263748,16792980,1487,519279,33679342,198,80.0,38865,90281,408987,33294709,251
Karnataka,Total,28,27764188,27294171,5091,54307292,3207,46110,19683211,18967821,1055,180516,38951063,0,72.0,28078,13472,217679,39063738,165
Rajasthan,SC,4,4431796,3933240,132,8242917,14,19084,2487282,2123343,79,55303,4683764,0,56.0,7173,615,38476,4532416,56
Madhya Pradesh,SC,4,3915916,3567592,167,7517475,13,18696,2707067,2213647,80,17587,4959754,0,67.0,2530,1182,38818,4838997,21
Gujarat,Total,25,25132266,22912639,1443,47088098,891,27385,15596628,13431907,445,306493,29630973,2,60.0,30613,15418,456229,29176445,114
Odisha,ST,5,3751466,3952998,683,7717017,37,9460,2939797,3069802,209,36355,6019507,0,79.0,7105,18306,144449,5840889,520
Uttarakhand,GEN,4,3667305,3376205,297,7167853,44,65022,2088531,2029443,86,69291,4162131,0,58.0,15068,6151,35796,4150692,23
Maharashtra,ST,4,3959327,3685137,276,7723733,232,7350,2734018,2423578,68,16764,5194744,0,68.0,1892,2601,62108,5065484,185
Goa,GEN,2,582449,596110,12,1200388,84,300,424197,465656,9,11260,906190,0,78.0,883,0,10977,902228,22
Tamil Nadu,GEN,32,24849365,25595290,7187,51061770,3049,62330,17178137,18233884,2271,261134,35752525,0,69.0,37254,24801,372088,35674552,264
NCT OF Delhi,Total,7,8220945,6999045,1252,15217283,648,12594,4775945,4148396,346,27182,8864854,0,60.0,2128,3369,45048,8818207,127
Himachal Pradesh,Total,4,2930833,2808206,35,5638404,34,66536,1963720,2054480,27,79571,4097858,0,70.0,9528,1630,23557,3996023,33
Karnataka,GEN,21,20837549,20377368,3549,40857699,3091,41410,14481788,14485219,761,142994,29268945,0,70.0,23318,8145,168653,29684478,140
Punjab,Total,13,11520730,10128324,770,21763191,1594,107177,7209048,6371211,287,64538,13600266,13,62.0,9349,2397,67961,13381309,40
West Bengal,Total,43,38783707,37075919,1772,75774194,222,116114,30872514,29462307,557,287451,61003848,0,80.0,43624,27206,516952,59286340,257
Odisha,Total,21,17092896,16529439,3499,33169967,196,49983,12598058,12331329,782,149989,25319801,0,73.0,23904,63362,326021,25120828,682
Chandigarh,GEN,1,347230,315298,34,652643,42,738,237389,213018,27,842,451146,1,69.0,108,0,2949,438622,9
Rajasthan,ST,3,3230833,3092637,45,6375689,73,4567,2143790,2069529,17,38793,4185108,0,67.0,2635,0,48880,4099041,88
Madhya Pradesh,ST,6,6083573,5866348,191,11884830,4,7204,4423236,4142891,106,23197,8491665,0,73.0,4122,432,124069,8533150,41
Dadra & Nagar Haveli and Daman & Diu,Total,2,220020,200533,0,423417,64,23,152818,143905,0,527,302948,0,72.0,74,0,6029,288128,3
Ladakh,GEN,1,99018,92945,0,190017,0,5825,66488,66066,0,3073,133770,0,73.0,137,0,895,133460,0
Manipur,GEN,1,477159,526197,216,990703,0,9593,375399,417517,106,11213,806336,0,79.0,4336,4826,3742,778386,12
Uttarakhand,SC,1,712938,665489,5,1378478,4,29494,309335,353399,2,21823,679019,0,50.0,5946,488,17057,641563,1
West Bengal,Total,42,38159977,37696174,1745,74620545,217,116094,30030023,30372580,560,294353,60763953,0,79.0,44556,27316,514636,59787004,256
Lakshadweep,Total,1,29334,28082,0,57767,0,168,23952,24802,0,605,48460,0,86.0,47,0,134,49132,1
Assam,Total,14,12379821,12100982,400,24523566,19,65001,10009218,9929997,76,125408,20485347,0,83.0,19452,37861,242688,20081169,122
Madhya Pradesh,ST,6,5863082,5828073,192,11815848,4,7213,4339511,4238945,104,23051,8512415,0,72.0,3993,421,124996,8424461,39
