State Name,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll %,Rejected Votes (Postal),Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes
Odisha,SC,3,2589489,2436130,392,5026011,24,8618,1866624,1865391,72,24418,3756505,0,74.74,2679,8954,17148,3727724,24
Odisha,ST,5,3789425,3921448,690,7711563,37,9290,2919732,3045362,206,36768,6002068,0,77.83,7091,18445,142887,5833645,526
Odisha,Total,21,17097140,16616361,3464,33716965,197,50246,12507927,12554904,795,150733,25214359,0,74.78,23702,63811,325447,24801399,681
Punjab,GEN,9,8005231,7130277,572,15136080,1305,76770,5093343,4473854,199,47912,9615308,8,63.53,8262,2426,43532,9561088,31
Punjab,SC,4,3383800,3047115,201,6431116,308,28685,2048500,1862571,83,16387,3927541,5,61.07,1238,0,23626,3902677,9
Punjab,Total,13,11389031,10177392,773,21567196,1613,105455,7141843,6336425,282,64299,13542849,13,62.79,9500,2426,67158,13463765,40
Rajasthan,GEN,18,20239352,18672973,449,38912774,202,117053,12642568,11416981,238,280829,24340616,0,62.55,33606,2993,191144,24112873,535
Rajasthan,SC,4,4383485,3876250,134,8259869,14,19200,2516923,2087589,78,56104,4660694,0,56.43,7191,605,38556,4614342,56
Rajasthan,ST,3,3251696,3083626,45,6335367,73,4654,2114958,2056710,17,38943,4210628,0,66.46,2666,0,49764,4158198,89
Rajasthan,Total,25,27874533,25632849,628,53508010,289,140907,17274449,15561280,333,375876,33211938,0,62.07,43463,3598,279464,32885413,680
Sikkim,GEN,1,234871,231769,3,466643,0,2503,185305,184569,2,18631,388507,0,83.26,2607,1007,2527,382366,16
Sikkim,Total,1,234871,231769,3,466643,0,2503,185305,184569,2,18631,388507,0,83.26,2607,1007,2527,382366,16
Tamil Nadu,GEN,32,25199729,26033601,7083,51240413,3110,63253,17359028,18088876,2278,258168,35708350,0,69.69,37475,24991,374315,35271569,259
Tamil Nadu,SC,7,5475215,5687935,1384,11164534,322,7769,3937667,4070317,431,52341,8060756,0,72.2,8411,24181,92753,7935411,80
Tamil Nadu,Total,39,30674944,31721536,8467,62404947,3432,71022,21296695,22159193,2709,310509,43769106,0,70.14,45886,49172,467068,43206980,339
Tripura,GEN,1,739939,729458,56,1469453,0,5927,600459,591993,35,20287,1212774,0,82.53,2965,0,14612,1195197,0
Tripura,ST,1,707112,694318,13,1401443,0,4682,567386,555034,4,13629,1136053,0,81.06,948,760,18303,1116042,2
Tripura,Total,2,1447051,1423776,69,2870896,0,10609,1167845,1147027,39,33916,2348827,0,81.82,3913,760,32915,2311239,2
Uttar Pradesh,GEN,63,64930123,56708265,5405,121643793,795,243989,36654957,32531275,720,216278,69403230,0,57.05,28924,39389,481189,68853728,1103
Uttar Pradesh,SC,17,17410241,15347850,1228,32759319,64,55453,9837149,8698193,135,58836,18594313,0,56.76,9682,7906,155666,18421059,3
Uttar Pradesh,Total,80,82340364,72056115,6633,154403112,859,299442,46492106,41229468,855,275114,87997543,0,56.99,38606,47295,636855,87274787,1106
West Bengal,GEN,30,27477910,26552807,1301,54032018,208,75895,21125906,20978763,407,200584,42305660,0,78.3,28846,17922,348746,41910146,175
West Bengal,SC,10,9459457,9072016,391,18531864,9,31027,7712621,7543975,134,76159,15332889,0,82.74,13132,7194,138990,15173573,50
